k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
15798,19.747500,-0.3416547552,0.00898647029,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3421507249,0.01228690065
15799,19.748750,-0.3434704468,0.009108430706,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3438206038,0.01230930013
15800,19.750000,-0.3448233083,0.008779784665,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3454742411,0.01229543137
15801,19.751250,-0.3465323485,0.008719780482,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3471115338,0.01225577929
15802,19.752500,-0.3481901847,0.008722941391,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3487323814,0.01241674717
15803,19.753750,-0.3498552665,0.008808034472,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3503366855,0.01234933905
15804,19.755000,-0.3514657915,0.00878790766,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3519243504,0.01241001525
15805,19.756250,-0.3533086367,0.009122968651,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3534952824,0.01243958869
15806,19.757500,-0.355025582,0.009147850797,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3550493905,0.01246016785
15807,19.758750,-0.3565592989,0.009043990634,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3565865862,0.01232034442
15808,19.760000,-0.3582332842,0.009045035578,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3581067831,0.01211331877
15809,19.761250,-0.3601689227,0.009458173998,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3596098976,0.01214953074
15810,19.762500,-0.3611817434,0.008989779279,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3610958484,0.01225207221
15811,19.763750,-0.3623007089,0.008791043423,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3625645566,0.01232751636
15812,19.765000,-0.3640907556,0.009111877531,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3640159461,0.01221312289
15813,19.766250,-0.3658038788,0.009285100736,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.365449943,0.01208641544
15814,19.767500,-0.3669213727,0.008980886079,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3668664761,0.01196916538
15815,19.768750,-0.3683511801,0.009200248867,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3682654767,0.01203276972
15816,19.770000,-0.369940985,0.009406704456,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3696468786,0.01204627145
15817,19.771250,-0.3715587817,0.009622701444,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3710106183,0.01208720522
15818,19.772500,-0.3729248866,0.009740820155,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3723566348,0.01211669897
15819,19.773750,-0.3745272197,0.009980324656,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3736848695,0.01201449896
15820,19.775000,-0.3758747354,0.01018021535,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3749952667,0.01209244765
15821,19.776250,-0.3771047033,0.01020177733,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3762877731,0.0122213289
15822,19.777500,-0.3786798827,0.01049222797,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3775623382,0.01228863411
