k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
116,2.320000,0.637312226,0.03538688272,5.953013897e-06,-4.574656487e-06,-4.574656487e-06,1.346319914e-05,0,5.92191e-11,3.78964e-06,0.05955717713,-0.04575392604,0.6354157714,0.02998433175
117,2.340000,0.6557096317,0.03538389504,5.945563316e-06,-4.552304745e-06,-4.552304745e-06,1.341849566e-05,0,5.9057e-11,3.79266e-06,0.05942536891,-0.04555010796,0.6561358652,0.03005516711
118,2.360000,0.6732045114,0.03499512374,5.938112736e-06,-4.537403584e-06,-4.537403584e-06,1.338869333e-05,0,5.89155e-11,3.79264e-06,0.05935945362,-0.04534304887,0.6741662884,0.02974229615
119,2.380000,0.6869471297,0.0343516171,5.930662155e-06,-4.522502422e-06,-4.522502422e-06,1.335144043e-05,0,5.87299e-11,3.79126e-06,0.05929352343,-0.04520605505,0.6888662176,0.02958131846
120,2.400000,0.6972478777,0.03409974277,5.923211575e-06,-4.507601261e-06,-4.507601261e-06,1.331418753e-05,0,5.85443e-11,3.78988e-06,0.05922758579,-0.04506903887,0.6997019582,0.02966185844
121,2.420000,0.7028265595,0.03319276869,5.915760994e-06,-4.4927001e-06,-4.4927001e-06,1.327693462e-05,0,5.83588e-11,3.7885e-06,0.0591616407,-0.04493200779,0.7062724978,0.02944723872
122,2.440000,0.7017737329,0.03370582312,5.908310413e-06,-4.477798939e-06,-4.477798939e-06,1.323968172e-05,0,5.81735e-11,3.78712e-06,0.05909568816,-0.04479495436,0.7083293667,0.02955288399
123,2.460000,0.6968484968,0.03379698098,5.900859833e-06,-4.462897778e-06,-4.462897778e-06,1.321732998e-05,0,5.80762e-11,3.78847e-06,0.05902972817,-0.04465787858,0.705789874,0.02975408993
124,2.480000,0.6873649061,0.03420800716,5.893409252e-06,-4.447996616e-06,-4.447996616e-06,1.319497824e-05,0,5.79787e-11,3.78981e-06,0.05896375328,-0.04445067793,0.6987430902,0.02944128163
125,2.500000,0.6749763042,0.03344491869,5.893409252e-06,-4.433095455e-06,-4.433095455e-06,1.316517591e-05,0,5.79354e-11,3.79588e-06,0.05889777094,-0.04431355745,0.6874482704,0.03008371546
126,2.520000,0.658998251,0.03304150701,5.893409252e-06,-4.418194294e-06,-4.418194294e-06,1.313537359e-05,0,5.78917e-11,3.80195e-06,0.05889777094,-0.04417333007,0.6723257565,0.03077463927
127,2.540000,0.6398052573,0.03229562938,5.893409252e-06,-4.403293133e-06,-4.403293133e-06,1.310557127e-05,0,5.78475e-11,3.80802e-06,0.05889777094,-0.04403309524,0.6539407341,0.03084067379
128,2.560000,0.6178475544,0.03228536993,5.893409252e-06,-4.388391972e-06,-4.388391972e-06,1.309067011e-05,0,5.78907e-11,3.81682e-06,0.05889777094,-0.04389286041,0.6329805453,0.03113958637
129,2.580000,0.5942996442,0.03159723431,5.885958672e-06,-4.37349081e-06,-4.37349081e-06,1.307576895e-05,0,5.7836e-11,3.81952e-06,0.05883178115,-0.04375569522,0.6102265472,0.03042783951
130,2.600000,0.5706675872,0.03119143844,5.878508091e-06,-4.358589649e-06,-4.358589649e-06,1.306086779e-05,0,5.77811e-11,3.82222e-06,0.05876577646,-0.04361851513,0.5865217577,0.03009743155
