t,naive_lambda_min,joseph_lambda_min,naive_sym_resid,joseph_sym_resid,naive_p00,joseph_p00,naive_angle_err_deg,joseph_angle_err_deg
0.995,2.03567e-06,2.03869e-06,2.32831e-08,0,2.80421e-06,2.997e-06,0.0434229,5.75533e-05
1,2.03534e-06,2.03965e-06,2.51457e-08,0,2.80049e-06,2.99234e-06,0.0448922,-6.44217e-06
1.1,2.04104e-06,2.04156e-06,1.39698e-08,0,2.74088e-06,2.89455e-06,0.044686,-0.00011937
1.2,2.03104e-06,2.04139e-06,4.93601e-08,0,2.69711e-06,2.81725e-06,0.0371992,-4.46319e-06
1.3,2.0402e-06,2.04351e-06,2.04891e-08,0,2.66824e-06,2.75858e-06,0.0310383,-3.45313e-05
1.4,2.03854e-06,2.0419e-06,2.42144e-08,0,2.6403e-06,2.71294e-06,0.0233617,-7.35025e-05
1.5,2.03243e-06,2.03691e-06,9.40636e-08,0,2.6254e-06,2.67383e-06,0.0211198,-6.72459e-05
1.6,2.02307e-06,2.03991e-06,1.17347e-07,0,2.60584e-06,2.64682e-06,0.020233,-0.000209346
1.7,2.02743e-06,2.04923e-06,1.14553e-07,0,2.60025e-06,2.63192e-06,0.0214915,-3.17164e-05
1.8,2.04207e-06,2.04881e-06,8.3819e-08,0,2.60025e-06,2.61236e-06,0.0208597,0.000554599
1.9,2.03562e-06,2.04973e-06,3.07336e-08,0,2.57324e-06,2.60025e-06,0.0180394,0.00108149
2,2.04774e-06,2.04131e-06,3.35276e-08,0,2.56673e-06,2.58163e-06,0.0162418,0.00134047
2.1,2.05477e-06,2.03599e-06,2.04891e-08,0,2.56673e-06,2.56673e-06,0.0137707,0.00150244
2.2,2.05772e-06,2.0392e-06,1.11759e-08,0,2.56673e-06,2.56673e-06,0.0121919,0.00174786
2.3,2.05826e-06,2.04553e-06,2.79397e-09,0,2.56673e-06,2.56673e-06,0.0107616,0.00129906
2.4,2.05918e-06,2.0512e-06,1.39698e-08,0,2.56673e-06,2.56673e-06,0.00953082,0.000442187
2.5,2.06164e-06,2.05659e-06,3.53903e-08,0,2.56673e-06,2.56673e-06,0.00836837,0.000148243
2.6,2.06207e-06,2.06116e-06,4.37722e-08,0,2.56673e-06,2.56579e-06,0.00703922,0.000226319
2.7,2.0613e-06,2.05566e-06,4.65661e-08,0,2.56673e-06,2.56207e-06,0.00573944,0.000792469
2.8,2.06238e-06,2.05452e-06,3.91155e-08,0,2.56673e-06,2.56207e-06,0.00365771,0.000446022
2.9,2.0616e-06,2.06089e-06,4.19095e-08,0,2.56673e-06,2.56207e-06,0.00212867,0.000756452
3,2.06082e-06,2.06676e-06,4.47035e-08,0,2.56673e-06,2.56207e-06,0.000815805,0.000556897
3.1,2.0619e-06,2.06676e-06,3.72529e-08,0,2.56673e-06,2.56207e-06,0.000131652,0.000752773
3.2,2.06112e-06,2.06676e-06,4.00469e-08,0,2.56673e-06,2.56207e-06,-0.000148493,0.000785537
3.3,2.06034e-06,2.06676e-06,4.28408e-08,0,2.56673e-06,2.56207e-06,-0.000769954,0.000593095
3.4,2.05956e-06,2.06676e-06,4.56348e-08,0,2.56673e-06,2.56207e-06,-0.00128495,0.000456956
3.5,2.06064e-06,2.06676e-06,3.81842e-08,0,2.56673e-06,2.56207e-06,-0.000290623,0.0017943
3.6,2.05986e-06,2.06676e-06,4.09782e-08,0,2.56673e-06,2.56207e-06,0.000141258,0.00270535
3.7,2.05908e-06,2.06676e-06,4.37722e-08,0,2.56673e-06,2.56207e-06,0.000292098,0.00268309
3.8,2.0583e-06,2.06676e-06,4.65661e-08,0,2.56673e-06,2.56207e-06,0.000546671,0.00204953
3.9,2.05938e-06,2.06676e-06,3.91155e-08,0,2.56673e-06,2.56207e-06,-0.000261995,0.00101525
4,2.0586e-06,2.06676e-06,4.19095e-08,0,2.56673e-06,2.56207e-06,-0.0012047,0.000364746
