experiment,workload,split,unit,alpha,target_coverage,empirical_coverage,coverage_std,mean_set_size,empty_rate,singleton_rate,error_rate,escalation_rate,accept_rate,union_bound,slack,mean_cost,n_cal,n_test,n_splits
cascade,easy,equal,tier0:small,0.06667,0.93333,0.93535,,,,,0.0745,0.75155,0.24845,,,,12000,20000,1
cascade,easy,equal,tier1:mid,0.06667,0.93333,0.93725,,,,,0.02145,0.29519,0.5297,,,,12000,20000,1
cascade,easy,equal,tier2:large,0.06667,0.93333,0.9371,,,,,0.00265,0.0,0.22185,,,,12000,20000,1
cascade,easy,front-loaded,end-to-end,0.01,0.99,0.9989,,3.9461,,,,,,0.01,0.0089,4.3517,12000,20000,1
cascade,easy,front-loaded,tier0:small,0.007,0.993,0.99455,,,,,0.0745,0.99705,0.00295,,,,12000,20000,1
cascade,easy,front-loaded,tier1:mid,0.002,0.998,0.998,,,,,0.02145,0.96495,0.03495,,,,12000,20000,1
cascade,easy,front-loaded,tier2:large,0.001,0.999,0.99895,,,,,0.00265,0.0,0.9621,,,,12000,20000,1
cascade,easy,front-loaded,end-to-end,0.02,0.98,0.99805,,2.24,,,,,,0.02,0.01805,4.2826,12000,20000,1
cascade,easy,front-loaded,tier0:small,0.014,0.986,0.98575,,,,,0.0745,0.99355,0.00645,,,,12000,20000,1
cascade,easy,front-loaded,tier1:mid,0.004,0.996,0.9959,,,,,0.02145,0.94545,0.0542,,,,12000,20000,1
cascade,easy,front-loaded,tier2:large,0.002,0.998,0.9982,,,,,0.00265,0.0,0.93935,,,,12000,20000,1
cascade,easy,front-loaded,end-to-end,0.05,0.95,0.9954,,1.2133,,,,,,0.05,0.0454,4.0972,12000,20000,1
cascade,easy,front-loaded,tier0:small,0.035,0.965,0.96675,,,,,0.0745,0.97985,0.02015,,,,12000,20000,1
cascade,easy,front-loaded,tier1:mid,0.01,0.99,0.99065,,,,,0.02145,0.89713,0.1008,,,,12000,20000,1
cascade,easy,front-loaded,tier2:large,0.005,0.995,0.9956,,,,,0.00265,0.0,0.87905,,,,12000,20000,1
cascade,easy,front-loaded,end-to-end,0.075,0.925,0.99245,,1.158,,,,,,0.075,0.06745,3.7806,12000,20000,1
cascade,easy,front-loaded,tier0:small,0.0525,0.9475,0.9493,,,,,0.0745,0.9406,0.0594,,,,12000,20000,1
cascade,easy,front-loaded,tier1:mid,0.015,0.985,0.9864,,,,,0.02145,0.83053,0.1594,,,,12000,20000,1
cascade,easy,front-loaded,tier2:large,0.0075,0.9925,0.99345,,,,,0.00265,0.0,0.7812,,,,12000,20000,1
cascade,easy,front-loaded,end-to-end,0.1,0.9,0.9788,,1.0831,,,,,,0.1,0.0788,2.6057,12000,20000,1
cascade,easy,front-loaded,tier0:small,0.07,0.93,0.93195,,,,,0.0745,0.6953,0.3047,,,,12000,20000,1
cascade,easy,front-loaded,tier1:mid,0.02,0.98,0.9817,,,,,0.02145,0.66065,0.23595,,,,12000,20000,1
cascade,easy,front-loaded,tier2:large,0.01,0.99,0.99055,,,,,0.00265,0.0,0.45935,,,,12000,20000,1
cascade,easy,front-loaded,end-to-end,0.125,0.875,0.9684,,1.0477,,,,,,0.125,0.0934,1.9348,12000,20000,1
cascade,easy,front-loaded,tier0:small,0.0875,0.9125,0.9124,,,,,0.0745,0.551,0.449,,,,12000,20000,1
cascade,easy,front-loaded,tier1:mid,0.025,0.975,0.9774,,,,,0.02145,0.50681,0.27175,,,,12000,20000,1
cascade,easy,front-loaded,tier2:large,0.0125,0.9875,0.9883,,,,,0.00265,0.0,0.27925,,,,12000,20000,1
cascade,easy,front-loaded,end-to-end,0.15,0.85,0.96325,,1.0374,,,,,,0.15,0.11325,1.718,12000,20000,1
cascade,easy,front-loaded,tier0:small,0.105,0.895,0.89455,,,,,0.0745,0.49055,0.50945,,,,12000,20000,1
